Open,High,Low,Close,Adj Close,Volume,Month
8.17,8.217,7.9,8.04,8.04,50100,10
8.0,8.035,7.92,8.0,8.0,40300,10
8.0,8.05,7.95,8.0,8.0,79300,10
8.0,8.25,8.0,8.1,8.1,71700,10
8.14,8.325,8.06,8.29,8.29,50900,10
8.44,8.84,8.22,8.79,8.79,133500,10
8.93,9.6,8.7,9.24,9.24,219000,10
9.25,9.431,8.78,8.8,8.8,143500,10
8.9,9.0,8.64,8.75,8.75,57300,10
8.9,9.1,8.81,9.1,9.1,107300,10
9.05,9.09,8.65,9.02,9.02,81000,10
9.04,9.1,8.74,8.98,8.98,59100,10
9.15,9.15,8.8,9.04,9.04,83200,10
9.11,9.13,8.9,9.05,9.05,89400,10
9.1,9.1,8.68,9.08,9.08,144100,10
8.81,9.04,8.68,8.96,8.96,81800,10
9.02,9.02,8.62,8.65,8.65,54000,10
8.74,8.74,8.4,8.53,8.53,97800,10
8.46,8.695,8.2,8.36,8.36,51000,10
8.15,8.31,7.905,7.97,7.97,81200,10
8.1,8.3,8.1,8.19,8.19,75500,10
8.2,8.38,7.91,7.945,7.945,75600,10
8.18,8.2,7.92,8.05,8.05,91900,11
8.14,8.2,8.01,8.12,8.12,41200,11
8.24,8.33,8.163,8.3,8.3,47300,11
8.5,8.91,8.49,8.79,8.79,104500,11
8.79,8.905,8.735,8.88,8.88,119500,11
9.14,9.5,9.09,9.29,9.29,244900,11
9.42,9.42,9.0,9.08,9.08,87800,11
9.5,9.5,8.9,9.29,9.29,156700,11
9.44,9.44,9.06,9.41,9.41,154900,11
9.8,12.5,9.61,10.48,10.48,1759600,11
11.81,11.98,10.81,11.23,11.23,1110300,11
11.34,11.64,10.9,11.27,11.27,404000,11
11.58,11.6,10.8,11.13,11.13,536600,11
11.2,11.7,11.045,11.25,11.25,242700,11
11.25,11.25,10.8,11.07,11.07,533200,11
11.9,13.01,11.3,12.67,12.67,1715100,11
14.33,15.02,13.0,14.82,14.82,1784600,11
14.37,14.5,13.33,13.5,13.5,1249600,11
14.591,14.99,14.0,14.93,14.93,884600,11
14.88,14.98,13.85,14.62,14.62,1099500,11
14.7,14.72,13.23,13.62,13.62,737700,12
13.0,13.7,11.86,13.24,13.24,905300,12
14.16,14.5,13.03,13.3,13.3,709400,12
13.3,13.63,12.69,13.45,13.45,551500,12
14.03,18.690001,13.89,18.139999,18.139999,2498100,12
22.76,24.379999,20.073,22.200001,22.200001,5069400,12
23.16,23.459999,19.01,19.879999,19.879999,2678800,12
18.82,20.26,18.219999,19.780001,19.780001,934200,12
19.959999,20.93,18.1,18.93,18.93,1461600,12
19.219999,19.59,17.620001,18.26,18.26,969300,12
18.815001,18.889999,17.690001,18.610001,18.610001,765900,12
